prodn,pH,DO,Temp,TDS,depth,flow,substr,veg,cover,width,canopy,turb
2996.2584,7.18,6.27,7.6859485,0.09,0.999854378,64.28804734,22.55769427,2.557694266,0.703089183,1.860897052,37.09416421,12.2
858.9627,7.49,6.57,7.683146916,0.07,1.119707997,154.2075395,24.44136458,4.441364583,0.757774807,1.349674672,27.49813048,2.44
893.2059,7.7,8.24,7.235497908,0.08,1.035252399,35.20366807,22.70468451,2.704684506,0.720068253,1.596990753,24.16727491,4.52
1936.7676,6.98,7.83,7.577528865,0.08,1.016821336,88.17092142,23.74837567,3.748375671,0.715905603,1.49295097,27.66037827,7.34
2865.4686,7.04,7.82,6.31117317,0.08,1.188057959,101.5365333,24.64642131,4.64642131,0.791657504,0.409502358,30.02594869,7.21
832.158,7.85,9.53,7.716168325,0.07,1.020262223,122.9205996,22.09905276,2.099052759,0.70990708,1.803450884,28.1295021,3.17
791.2935,7.78,8.53,8.175336813,0.05,1.077390395,73.70583068,23.72080239,3.720802389,0.74377289,1.714331184,25.85970158,2.53
45.081,6.83,7.79,7.912772968,0.09,1.089108147,149.4612209,22.98059818,2.980598179,0.755630733,1.020871894,24.44384957,9.36
20500.9317,6.87,4.47,7.218311309,0.1,1.084371448,70.8537744,22.80009719,2.800097186,0.737202217,1.980674629,27.75463343,24.2
706.239,6.79,7.64,7.206266433,0.04,1.143704639,83.00936498,26.14286047,6.142860474,0.785792861,0.951298761,25.1349496,14.4
20501.3475,7.32,7.72,7.953249026,0.09,1.137057752,107.852863,23.96423376,3.964233762,0.774590773,0.982967195,24.6752178,16.6
2231.2962,6.93,8.31,7.490330431,0.06,1.11891333,112.8225027,23.70244372,3.702443715,0.756470976,1.279114012,27.11688074,11.8
2800.8144,6.92,7.81,7.004832375,0.06,1.127704536,144.0399695,24.60652748,4.606527476,0.765052281,1.005717213,30.85334272,11.9
20639.7675,7.32,7.81,6.672069935,0.08,1.084516788,117.2724075,22.85399609,2.853996088,0.741119632,1.239388944,32.31223314,16.8
23511.8745,7.4,8.36,7.399574534,0.08,1.077947108,76.00930626,22.49761379,2.49761379,0.744796432,1.400407114,24.85166474,19.4
184.2471,5.73,8.84,9.400883954,0.04,1.112641837,78.95798536,23.15454203,3.154542035,0.751378509,1.291675498,20.21480187,3.79
35.1117,5.76,7.86,6.745596152,0.02,1.065757994,117.1730832,23.53974662,3.539746623,0.736022587,1.728756571,22.16919357,5.34
269.5653,5.7,9.46,6.168074395,0.03,1.161233725,122.5990521,24.41267862,4.412678619,0.781755603,0.950754908,27.87183756,4.39
374.5458,5.94,8.97,8.170381822,0.03,1.02304131,76.9459724,22.21984642,2.219846416,0.722577935,1.631750592,24.08850565,4.12
384.0174,6.07,8.67,8.376943911,0.03,1.098285195,46.85590873,23.04067534,3.040675337,0.747044205,1.323929369,29.92572767,8.05
16048.1916,6.16,6.94,7.036465235,0.06,1.00878059,102.9103478,22.6708402,2.670840205,0.706901141,2.264381945,26.46639898,30.5
16555.131,8.44,6.68,7.464869664,0.09,0.960237284,126.7728482,20.83585522,0.835855216,0.689238242,2.605697969,24.1394872,14.4
16041.8142,6.1,9.51,5.82627699,0.08,0.976566701,102.0966593,20.72845929,0.728459288,0.688518516,1.722445807,29.46701299,42.5
16101.2826,6.7,7.61,7.309063999,0.09,1.071717213,100.9827592,23.30652149,3.306521488,0.746677984,1.609606615,37.59039061,24.8
16555.131,8.31,7.66,8.144210069,0.1,0.834446742,39.82539168,18.89690205,1.1,0.617698746,3.169384461,42.88640037,31.4
170.1315,5.34,6.96,6.061850183,0.02,1.211534954,87.27717971,24.92503926,4.925039265,0.798496486,1.275495737,24.00316652,60.3
46.7874,6.02,7.3,7.425831802,0.04,1.078119532,98.74024992,22.21966417,2.21966417,0.737649636,1.198392694,22.05647567,6.24
32.0643,6.59,4.82,8.222436507,0.04,0.843869837,72.41305328,18.05490427,1.95,0.613325821,3.451845853,26.4787276,15.7
21230.9271,7.39,6.9,7.875366858,0.25,1.069121053,83.20238302,22.96632951,2.966329507,0.743677324,1.470034736,40.02000083,33.9
982.9035,6.55,7.2,7.393461461,0.03,1.175611209,127.8912631,25.3844642,5.384464199,0.791323267,0.564757542,26.33482373,123
21230.9271,7.22,7.27,7.399227007,0.2,1.124526004,140.0068631,23.50056888,3.500568876,0.756362863,1.421271813,35.95165308,27.7
1104.2253,7.58,5.97,6.289927944,0.58,1.070690076,97.50482101,22.32912706,2.329127063,0.737403314,1.179397975,30.06171089,73.5
21230.9271,6.67,5.46,6.942905411,0.11,1.137628333,47.12839379,23.77335749,3.773357485,0.770684998,0.719667603,33.51616956,8.62
21230.9271,7.18,7.16,6.687012682,0.18,1.111766583,72.54134564,22.87849487,2.87849487,0.75128203,1.3015855,29.04047472,25.8
181.05,7.8,7.73,8.147805174,0.18,1.099756587,79.56273953,24.61763766,4.617637663,0.755775186,1.344245933,20.62572431,138
43.48,7.91,7.41,8.122727988,0.18,1.16342397,98.10389266,24.04343647,4.043436466,0.754303651,1.099259611,22.74662962,77.7
35.54,7.98,8.88,7.583468954,1.39,1.186408916,91.30059777,26.13116827,6.131168273,0.797270747,0.452017497,23.60216363,1.54
15,7.83,4.92,6.863051832,0.2,1.067387962,67.70379302,22.75359484,2.753594836,0.730247835,1.764442409,29.73064989,28.1
3.75,8.1,3.91,6.817740004,0.37,1.017485274,63.60484835,23.22734779,3.227347789,0.719578999,1.607925562,25.70388491,13.5
14.89,8.27,8.3,7.12005663,0.34,1.095296853,131.4230911,23.42548462,3.425484617,0.755701096,1.298287525,28.40983156,13.7
202.51,8.03,5.44,7.412637847,1.69,1.07021435,104.1800054,24.20680171,4.206801707,0.720538638,1.805935577,26.49528211,2.62
15,7.57,6.14,6.579121318,0.09,1.119476538,60.06886289,23.72887947,3.728879473,0.768799885,1.19671128,27.50164421,200
212.54,8.22,8.01,6.837908633,1.76,1.053620863,121.7916875,21.61982445,1.619824447,0.723663011,2.007029654,22.02463024,2.77
9.27,7.82,3.78,6.627666026,0.24,1.144604303,113.0476685,24.54982459,4.549824594,0.767694018,1.007688297,24.79665998,189
215.26,7.93,6.32,6.897029436,0.82,1.131388487,122.4999727,22.79917296,2.799172963,0.774338984,1.058387164,34.45981744,25.4
498.23,8.08,7.42,5.752625758,1.25,1.109229362,133.6709791,22.62096405,2.620964048,0.756450864,1.466094943,25.54220575,29.4
337.97,8.91,8.91,6.372479457,0.19,1.13120403,72.62281574,24.0214344,4.021434396,0.765045269,1.584063581,24.06737528,5.92
621.49,9.05,9.05,7.151856507,0.22,1.135557046,106.0747982,23.94547175,3.945471747,0.766135805,1.083426949,26.19443391,7.53
1183,5.68,5.68,7.625334695,0.23,1.070779226,85.74406301,24.27824705,4.278247051,0.735519022,2.001080052,25.52992711,6.91
1191,7.02,7.02,7.826857268,0.2,1.047972177,80.83156805,22.58802306,2.588023057,0.718251425,1.962924253,25.75720904,8.46
1040,10.46,10.46,7.118048463,0.22,1.122966516,97.76796556,23.87757063,3.877570627,0.742060032,1.746635218,30.53035953,8.2
6249.1,9.91,9.91,6.911496837,0.21,1.076356955,128.5020619,22.93751491,2.93751491,0.720741266,1.967515666,27.27817607,26.1
6086,9.23,9.23,6.572006689,0.22,1.062976408,90.18965512,23.39011804,3.390118043,0.729290748,1.787365029,27.17993496,13.8
6292.2,6.07,6.07,7.822633348,0.25,1.05676003,90.56373774,21.37300914,1.373009137,0.714379613,2.233178413,32.67535594,15.3
6318,5.11,5.11,6.640012154,0.25,1.065289011,95.0189305,21.48022995,1.480229954,0.722808116,1.930350872,32.7627032,10.9
